Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
IGFBP4		1	1	340	0.30%	No
FBXW7		4	4	340	1.20%	Yes
TSC2		3	3	340	0.90%	Yes
FBXO10		3	3	340	0.90%	No
TC2N		1	1	340	0.30%	No
MSH6		1	1	340	0.30%	Yes
ACLY		1	1	340	0.30%	No
SCNN1G		2	2	340	0.60%	No
RALGAPB		3	3	340	0.90%	No
MAPKAPK3		1	1	340	0.30%	No
RAB36		3	3	340	0.90%	No
HNRNPUL1		3	3	340	0.90%	No
CCNE1		1	1	340	0.30%	Yes
MSH3		1	1	340	0.30%	Yes
KAT6B		3	3	340	0.90%	Yes
MSH5		1	1	340	0.30%	No
MAPKAPK2		1	1	340	0.30%	No
CERCAM		1	1	340	0.30%	No
ELMO3		3	3	340	0.90%	No
CSF1R		2	2	340	0.60%	Yes
KMT2D		5	5	340	1.50%	Yes
BLM		3	3	340	0.90%	Yes
INO80E		2	2	340	0.60%	No
ABHD4		2	2	340	0.60%	No
MAX		2	2	340	0.60%	Yes
MAZ		2	2	340	0.60%	No
KMT2B		3	3	340	0.90%	Yes
ARL2		1	1	340	0.30%	No
LPL		3	3	340	0.90%	No
HOXB13		2	2	340	0.60%	Yes
CCNB3		4	4	340	1.20%	Yes
NDOR1		1	1	340	0.30%	No
ZFP57		1	1	340	0.30%	No
ZKSCAN7		3	3	340	0.90%	No
IGFBP7		1	1	340	0.30%	No
MAP2K7		2	2	340	0.60%	No
WNT2		1	1	340	0.30%	No
BPTF		3	3	340	0.90%	No
MARK1		1	1	340	0.30%	No
CBX4		5	5	340	1.50%	No
FANCM		2	2	340	0.60%	Yes
IDH1		14	14	340	4.10%	Yes
PTCH1		2	2	340	0.60%	Yes
FANCA		1	1	340	0.30%	Yes
ASPSCR1		1	1	340	0.30%	Yes
FANCC		1	1	340	0.30%	Yes
PALB2		2	2	340	0.60%	Yes
FANCG		1	1	340	0.30%	Yes
QKI		3	3	340	0.90%	Yes
SMAD7		2	2	340	0.60%	No
NFKB2		1	1	340	0.30%	Yes
VIL1		3	3	340	0.90%	No
BMP3		5	5	340	1.50%	No
CDK8		1	1	340	0.30%	Yes
BMP2		1	1	340	0.30%	No
MAP3K15		2	2	340	0.60%	No
BMP1		1	1	340	0.30%	No
CDK4		1	1	340	0.30%	Yes
GNAQ		1	1	340	0.30%	Yes
MDM2		1	1	340	0.30%	Yes
NF1		27	27	340	7.90%	Yes
CSPG4		5	5	340	1.50%	No
UBA1		3	3	340	0.90%	Yes
MAP3K13		2	2	340	0.60%	Yes
FGFR2		1	1	340	0.30%	Yes
FGFR1		10	10	340	2.90%	Yes
ALK		2	2	340	0.60%	Yes
RERE		3	3	340	0.90%	No
KDM5A		2	2	340	0.60%	Yes
KDM5B		2	2	340	0.60%	No
KDM5C		1	1	340	0.30%	Yes
BMPR2		1	1	340	0.30%	No
FLT1		3	3	340	0.90%	Yes
CHD9		1	1	340	0.30%	No
MCM8		2	2	340	0.60%	No
RASGRF2		3	3	340	0.90%	No
CHD8		1	1	340	0.30%	No
CHD7		4	4	340	1.20%	No
PTEN		15	15	340	4.40%	Yes
CHD6		1	1	340	0.30%	No
CHD5		1	1	340	0.30%	No
CHD4		1	1	340	0.30%	Yes
CHD3		1	1	340	0.30%	No
PIK3CB		1	1	340	0.30%	Yes
PTPN23		5	5	340	1.50%	No
CHD2		1	1	340	0.30%	Yes
PIK3C2A		1	1	340	0.30%	No
UNC80		4	4	340	1.20%	No
TOP1MT		1	1	340	0.30%	No
POLK		1	1	340	0.30%	No
SPDL1		3	3	340	0.90%	No
POLE		1	1	340	0.30%	Yes
KDM6B		9	9	340	2.60%	No
ATRX		63	63	340	18.50%	Yes
MARS1		3	3	340	0.90%	No
ARID1B		4	4	340	1.20%	Yes
ETV5		2	2	340	0.60%	Yes
SHROOM4		3	3	340	0.90%	No
ETV6		3	3	340	0.90%	Yes
TGFBR2		1	1	340	0.30%	Yes
CCNA1		1	1	340	0.30%	No
PIK3CA		37	37	340	10.90%	Yes
ESPL1		3	3	340	0.90%	No
ACOX1		1	1	340	0.30%	No
PALLD		1	1	340	0.30%	No
POLR1B		1	1	340	0.30%	No
MCM3		1	1	340	0.30%	No
BMP2K		3	3	340	0.90%	No
DSG1		3	3	340	0.90%	No
MCM5		2	2	340	0.60%	No
MCTP2		1	1	340	0.30%	No
AHDC1		5	5	340	1.50%	No
MCM2		1	1	340	0.30%	No
HDAC4		1	1	340	0.30%	Yes
HDAC2		1	1	340	0.30%	Yes
SMARCD2		1	1	340	0.30%	No
KDM3A		2	2	340	0.60%	No
KDM3B		1	1	340	0.30%	No
HDAC1		2	2	340	0.60%	Yes
CBL		3	3	340	0.90%	Yes
PPM1D		19	19	340	5.60%	Yes
HDAC6		2	2	340	0.60%	No
AGPAT4		1	1	340	0.30%	No
MAPK7		1	1	340	0.30%	No
WNT11		1	1	340	0.30%	No
ERBB4		1	1	340	0.30%	Yes
HECTD4		2	2	340	0.60%	No
E2F1		2	2	340	0.60%	No
MAPK1		1	1	340	0.30%	Yes
DROSHA		2	2	340	0.60%	Yes
BUB3		1	1	340	0.30%	No
IGF2BP2		1	1	340	0.30%	No
TCF7L2		1	1	340	0.30%	Yes
POLQ		2	2	340	0.60%	Yes
KDM4B		2	2	340	0.60%	No
FEM1A		3	3	340	0.90%	No
KDM4E		1	1	340	0.30%	No
PTPN11		4	4	340	1.20%	Yes
CDC42BPB		3	3	340	0.90%	No
MTOR		2	2	340	0.60%	Yes
PML		2	2	340	0.60%	Yes
TBX3		3	3	340	0.90%	Yes
ASXL1		6	6	340	1.80%	Yes
RAD50		1	1	340	0.30%	Yes
NEURL4		1	1	340	0.30%	No
APC		3	3	340	0.90%	Yes
ERCC3		1	1	340	0.30%	Yes
RPS6KB2		1	1	340	0.30%	Yes
MGAT4B		1	1	340	0.30%	No
KRAS		2	2	340	0.60%	Yes
BCOR		15	15	340	4.40%	Yes
SEC24D		1	1	340	0.30%	No
PIK3AP1		1	1	340	0.30%	No
PFKP		1	1	340	0.30%	No
EIF3A		3	3	340	0.90%	No
HCN1		3	3	340	0.90%	No
